"Vendor","WorkflowFile","CronSchedule","Frequency","Reference"
"AMD",".github/workflows/windows-amd-clang-d3d12-gbv.yaml","0 6 * * *","Daily at 6am UTC",".github/workflows/windows-amd-clang-d3d12-gbv.yaml:8"
"AMD",".github/workflows/windows-amd-clang-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-amd-clang-d3d12.yaml:9"
"AMD",".github/workflows/windows-amd-clang-vk.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-amd-clang-vk.yaml:9"
"AMD",".github/workflows/windows-amd-clang-warp-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-amd-clang-warp-d3d12.yaml:9"
"AMD",".github/workflows/windows-amd-dxc-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-amd-dxc-d3d12.yaml:9"
"AMD",".github/workflows/windows-amd-dxc-vk.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-amd-dxc-vk.yaml:9"
"AMD",".github/workflows/windows-amd-dxc-warp-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-amd-dxc-warp-d3d12.yaml:9"
"Intel",".github/workflows/windows-intel-clang-d3d12.yaml","0 */2 * * *","Every 2 hours",".github/workflows/windows-intel-clang-d3d12.yaml:9"
"Intel",".github/workflows/windows-intel-clang-vk.yaml","0 */2 * * *","Every 2 hours",".github/workflows/windows-intel-clang-vk.yaml:9"
"Intel",".github/workflows/windows-intel-dxc-vk.yaml","0 */2 * * *","Every 2 hours",".github/workflows/windows-intel-dxc-vk.yaml:9"
"Intel",".github/workflows/windows-intel-dxc-d3d12.yaml","0 * * * *","Every hour",".github/workflows/windows-intel-dxc-d3d12.yaml:9"
"macOS",".github/workflows/macos-clang-mtl.yaml","*/30 * * * *","Every 30 minutes",".github/workflows/macos-clang-mtl.yaml:9"
"macOS",".github/workflows/macos-dxc-mtl.yaml","*/30 * * * *","Every 30 minutes",".github/workflows/macos-dxc-mtl.yaml:9"
"NVIDIA",".github/workflows/windows-nvidia-clang-d3d12.yaml","0 */2 * * *","Every 2 hours",".github/workflows/windows-nvidia-clang-d3d12.yaml:9"
"NVIDIA",".github/workflows/windows-nvidia-clang-vk.yaml","0 */2 * * *","Every 2 hours",".github/workflows/windows-nvidia-clang-vk.yaml:9"
"NVIDIA",".github/workflows/windows-nvidia-dxc-vk.yaml","0 */2 * * *","Every 2 hours",".github/workflows/windows-nvidia-dxc-vk.yaml:9"
"NVIDIA",".github/workflows/windows-nvidia-dxc-d3d12.yaml","0 * * * *","Every hour",".github/workflows/windows-nvidia-dxc-d3d12.yaml:9"
"Qualcomm",".github/workflows/windows-qc-clang-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-qc-clang-d3d12.yaml:9"
"Qualcomm",".github/workflows/windows-qc-clang-vk.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-qc-clang-vk.yaml:9"
"Qualcomm",".github/workflows/windows-qc-clang-warp-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-qc-clang-warp-d3d12.yaml:9"
"Qualcomm",".github/workflows/windows-qc-dxc-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-qc-dxc-d3d12.yaml:9"
"Qualcomm",".github/workflows/windows-qc-dxc-vk.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-qc-dxc-vk.yaml:9"
"Qualcomm",".github/workflows/windows-qc-dxc-warp-d3d12.yaml","0 */6 * * *","Every 6 hours",".github/workflows/windows-qc-dxc-warp-d3d12.yaml:9"
