"RunID","PRTitle","RunDate","IsTestAll","TotalWallMin","TotalWallHrs","IntelWallMin","IntelJobCount","QualcommWallMin","QualcommJobCount","AMDWallMin","AMDJobCount","NVIDIAWallMin","NVIDIAJobCount","BottleneckVendor","ActionURL"
"24044691010","[Metal] Explicit root signature layout for Metal backend","2026-04-06 18:25","False","101.6","1.69","101.6","6","70.9","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/24044691010"
"23931181217","Use half literals to remove ambiguity from refract calls in `Feature/HLSLLib/refract.16.test`","2026-04-03 02:32","False","89","1.48","83.3","6","89","2","0","0","0","0","Qualcomm","https://github.com/llvm/offload-test-suite/actions/runs/23931181217"
"23923237710","Restructure how devices are created and automatically cleaned up.","2026-04-02 21:38","False","195.8","3.26","195.8","6","168.2","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23923237710"
"23916652362","Remove unused pWaitDstStageMask from Vulkan submit","2026-04-02 18:51","False","290.5","4.84","290.5","6","86.9","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23916652362"
"23910358826","api-query: Continue device initialization when a backend fails","2026-04-02 16:17","False","117.6","1.96","117.6","6","31.5","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23910358826"
"23908463919","[Vulkan] Implement initial support for sparse resources","2026-04-02 15:34","False","222.1","3.7","222.1","6","18.9","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23908463919"
"23904895993","Add `Queue::submit()` for command buffer submission","2026-04-02 14:15","False","108","1.8","108","6","43.6","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23904895993"
"23904896249","Add CommandBuffer abstraction with backend-specific downcasting","2026-04-02 14:15","False","219.3","3.66","219.3","6","63.4","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23904896249"
"23863379154","[Matrix] Add boolean operator tests","2026-04-01 18:05","False","396.9","6.61","396.9","6","70.2","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23863379154"
"23862025503","[WARP] Detect AVX512 support","2026-04-01 17:33","False","347.2","5.79","347.2","6","289.4","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23862025503"
"23855969800","[Metal] Fix top level argument buffer indexing when creating descriptors","2026-04-01 15:14","False","48.6","0.81","48.6","6","31.7","2","0","0","0","0","Intel","https://github.com/llvm/offload-test-suite/actions/runs/23855969800"
